   yymm   ddhh    dir  speed   PASQ   TEMP
   1701    101     70     42     45    186
   1701    102     50     27     55    185
   1701    103     60     55     40    185
   1701    104     50     55     40    185
   1701    105     60     44     45    186
   1701    106     70     47     45    188
   1701    107     60     36     45    187
   1701    108     60     35     45    188
   1701    109     70     62     40    190
   1701    110     70     51     40    190
   1701    111     90     44     30    189
   1701    112     80     31     25    193
   1701    113    150     12     10    198
   1701    114    160     51     30    199
   1701    115    160     24     20    205
   1701    116    160     20     20    202
   1701    117    140     14     40    196
   1701    118    120      7     60    192
   1701    119     20      1     60    190
   1701    120     50      7     60    190
   1701    121   9999      1     60    189
   1701    122    300      4     60    184
   1701    123    310      8     60    182
   1701    124      0      0     60    176
   1701    201      0      0     60    171
   1701    202   9999      2     60    173
   1701    203   9999      1     60    175
   1701    204    260      3     60    172
   1701    205      0      0     60    170
   1701    206    170      1     60    167
   1701    207      0      0     60    169
   1701    208    300      3     60    170
   1701    209      0      0     40    189
   1701    210    150      7     15    199
   1701    211    150      9     15    207
   1701    212    180     46     20    214
   1701    213    170     40     20    204
   1701    214    170     48     20    198
   1701    215    170     29     20    199
   1701    216    170     24     20    199
   1701    217    180     17     40    198
   1701    218    210     17     60    193
   1701    219    210     10     60    185
   1701    220   9999      1     60    182
   1701    221      0      0     60    177
   1701    222      0      0     60    175
   1701    223      0      0     60    173
   1701    224      0      0     60    171
   1701    301      0      0     60    170
   1701    302      0      0     60    169
   1701    303      0      0     60    167
   1701    304      0      0     60    170
   1701    305      0      0     60    168
   1701    306      0      0     60    168
   1701    307    280     15     60    172
   1701    308   9999      1     60    184
   1701    309      0      0     40    200
   1701    310     80     43     25    205
   1701    311     70     44     25    204
   1701    312    100     58     40    199
   1701    313     60     48     30    200
   1701    314     80     54     35    207
   1701    315    110     40     30    205
   1701    316     70     40     25    205
   1701    317     80     38     40    200
   1701    318     80     20     60    197
   1701    319     80     32     50    196
   1701    320     90     27     60    195
   1701    321     50     19     60    195
   1701    322     90     32     50    195
   1701    323     70     36     50    194
   1701    324     80     35     50    192
   1701    401     80     58     40    192
   1701    402     60     38     50    191
   1701    403     60     40     50    190
   1701    404     70     33     50    189
   1701    405     80     15     60    185
   1701    406   9999      1     60    183
   1701    407    320      4     60    184
   1701    408    100     26     55    188
   1701    409     90     21     40    191
   1701    410     80     41     30    196
   1701    411     90     45     30    198
   1701    412    120     34     20    213
   1701    413    130     18     10    206
   1701    414    170     35     20    204
   1701    415    180     37     25    205
   1701    416    170     48     25    200
   1701    417    200     10     40    199
   1701    418    200      9     60    195
   1701    419    250     13     60    186
   1701    420   9999      2     60    185
   1701    421   9999      2     60    183
   1701    422      0      0     60    182
   1701    423      0      0     60    178
   1701    424      0      0     60    175
   1701    501    250      2     60    176
